timestamp,alert_id,device_id,device_type,ward,criticality_tier,life_support,src_ip,dst_ip,src_port,dst_port,protocol,packet_size,packet_rate,packets_per_sec,unique_ports,failed_connections,bytes_sent,bytes_received,flow_duration,hour_of_day,day_of_week,is_night,is_weekend,attack_type,attack_severity,network_anomaly_score,behavioral_anomaly_score,time_anomaly_score,group_id,campaign_id,actual_priority,predicted_priority,confidence_score,prediction_correct,match_status
2024-01-28 08:40:21,ALT_238318,ICU_ESP32_ECG_002,ESP32_ECG_Monitor,ICU,9,True,192.168.40.254,10.0.8.87,12280,8883,MQTT,832,1470,24.5,22,42,1223040,716058,36.59,8,6,False,True,wifi_deauth,25,0.849635,0.889225,0.459651,GRP_14398,CAMP_013,HIGH,HIGH,0.859327,1,CORRECT
2024-02-06 11:03:36,ALT_840774,WARD_ESP32_ENV_001,ESP32_Environment,General_Ward,5,False,192.168.1.201,10.0.4.29,26100,80,HTTP,144,34,0.57,1,3,4896,3151,2.9,11,1,False,False,normal,0,0.174817,0.085993,0.08603,,,CRITICAL,CRITICAL,0.998,1,CORRECT
2024-01-18 01:32:19,ALT_703276,ER_ESP32_TEMP_001,ESP32_Temperature,Emergency,7,False,192.168.29.104,10.0.3.74,3344,80,HTTP,1829,652,10.87,36,171,1192508,410626,54.94,1,3,True,False,buffer_overflow,42,0.791864,0.621047,0.288264,GRP_22258,CAMP_027,HIGH,HIGH,0.996143,1,CORRECT
2024-01-22 10:16:07,ALT_549751,REHAB_ESP32_TEMP_001,ESP32_Temperature,Rehabilitation,5,False,192.168.42.215,10.0.9.160,48334,80,HTTP,1402,997,16.62,18,105,1397794,869724,53.28,10,0,False,False,mqtt_injection,35,0.835224,0.746282,0.571175,GRP_31497,CAMP_045,CRITICAL,CRITICAL,0.977012,1,CORRECT
2024-01-28 01:53:04,ALT_869138,OPD_ESP32_ENV_001,ESP32_Environment,OPD,4,False,192.168.22.195,10.0.5.214,58105,80,HTTP,593,684,11.4,41,158,405612,238663,11.32,1,6,True,True,replay_attack,28,0.731566,0.864757,0.252002,GRP_1418,CAMP_002,HIGH,HIGH,0.938144,1,CORRECT
2024-01-22 16:01:57,ALT_435011,OPD_ESP32_HR_001,ESP32_Pulse_Oximeter,OPD,5,False,192.168.19.208,10.0.2.72,4805,61287,BLE,449,32,0.53,1,5,14368,4789,23.73,16,0,False,False,normal,0,0.009715,0.104541,0.05906,,,CRITICAL,CRITICAL,0.983444,1,CORRECT
2024-02-10 03:35:11,ALT_916881,ER_ESP32_FALL_001,ESP32_Fall_Detection,Emergency,8,False,192.168.16.50,10.0.5.31,9438,8080,WiFi,395,6,0.1,1,4,2370,934,32.06,3,5,True,True,normal,0,0.003311,0.055749,0.079193,,,CRITICAL,CRITICAL,0.981513,1,CORRECT
2024-01-26 11:10:33,ALT_497032,ER_ESP32_TEMP_001,ESP32_Temperature,Emergency,7,False,192.168.26.88,10.0.4.115,59445,80,HTTP,297,44,0.73,1,2,13068,6423,37.29,11,4,False,False,normal,0,0.084755,0.005695,0.075229,,,HIGH,HIGH,0.987418,1,CORRECT
2024-01-29 00:03:52,ALT_964401,OPD_ESP32_HR_001,ESP32_Pulse_Oximeter,OPD,5,False,192.168.48.132,10.0.1.220,4614,61477,BLE,1192,704,11.73,49,193,839168,435452,57.56,0,0,True,False,replay_attack,28,0.839668,0.868114,0.495445,GRP_28737,CAMP_002,CRITICAL,CRITICAL,1.0,1,CORRECT
2024-01-15 04:24:48,ALT_279380,ICU_ESP32_ECG_002,ESP32_ECG_Monitor,ICU,9,True,192.168.5.178,10.0.5.202,1707,8883,MQTT,314,46,0.77,1,3,14444,9978,18.27,4,0,True,False,normal,0,0.115293,0.190543,0.087232,,,CRITICAL,HIGH,0.511936,0,INCORRECT
