timestamp,alert_id,device_id,device_type,sensor_type,ward,criticality_tier,life_support,src_ip,dst_ip,src_port,dst_port,protocol,packet_size,packet_rate,packets_per_sec,unique_ports,failed_connections,bytes_sent,bytes_received,flow_duration,hour_of_day,day_of_week,is_night,is_weekend,attack_type,attack_severity,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,fall_detected,heart_rate_bpm,r_peak_detected,ecg_signal_quality,body_temp_celsius,spo2_percentage,ppg_signal_quality,attack_description,campaign_id,priority_label,group_id,network_anomaly_score,behavioral_anomaly_score,time_anomaly_score
2024-01-15 08:18:20,A_075721,REHAB_ESP32_FALL_001,ESP32_Fall_Detection,MPU6050,Rehabilitation,6,False,192.168.1.110,192.168.1.1,43585,80,WiFi,293,18,0.3,1,0,5274,1582,1.8404703261117608,8,0,0,0,normal,0,1.023,-1.545,10.115,1.71,4.97,4.8,False,,,,,,,,,LOW,,0.06408812462777909,0.10650043214520954,0.05850085108052399
2024-01-15 08:00:35,A_080184,ER_ESP32_TEMP_001,ESP32_Temperature,DS18B20,Emergency,8,False,203.94.50.15,192.168.1.63,47335,58518,MQTT,981,26,0.43,3,0,25506,5101,0.5375574842047861,8,0,0,0,firmware_exploit,45,,,,,,,,,,,36.6,,,ESP32 firmware exploitation,CAMP_FIRM_2907,CRITICAL,GRP_0008,0.6395533572522852,0.5394291396719307,0.1538816221791582
2024-01-15 11:04:20,A_019864,ICU_ESP32_ECG_001,ESP32_ECG_Monitor,AD8232,ICU,10,True,198.51.100.42,192.168.1.52,52384,26558,MQTT,67,211,3.52,1,132,14137,0,1.794628297637458,11,0,0,0,wifi_deauth,25,,,,,,,,69.0,True,0.9797510563723999,,,,WiFi deauthentication attack,CAMP_WIFI_9576,CRITICAL,GRP_0024,0.8571905781582703,0.5258010039389597,0.22670964741065103
2024-01-15 13:38:18,A_076699,WARD_ESP32_TEMP_002,ESP32_Temperature,DS18B20,General_Ward,6,False,192.168.1.73,192.168.1.1,46816,1883,MQTT,227,23,0.38,1,0,5221,1566,0.8808958580472367,13,0,0,0,normal,0,,,,,,,,,,,36.9,,,,,LOW,,0.1667650175859917,0.08406817241883488,0.026053948234375436
2024-01-16 04:00:56,A_092991,ER_ESP32_TEMP_001,ESP32_Temperature,DS18B20,Emergency,8,False,10.0.0.88,192.168.1.63,58403,11679,MQTT,1464,1602,26.7,1,0,2345328,0,0.013119475016958131,4,1,1,0,ddos,40,,,,,,,,,,,36.6,,,DDoS attack on ESP32 device,CAMP_DDOS_6073,CRITICAL,GRP_0005,0.8007374808259511,0.5862870925070657,0.5335116255657165
2024-01-15 10:56:29,A_076434,ICU_ESP32_TEMP_002,ESP32_Temperature,MLX90614,ICU,9,False,192.168.1.55,192.168.1.1,45416,80,HTTP,330,12,0.2,1,0,3960,1188,0.5092892409516047,10,0,0,0,normal,0,,,,,,,,,,,37.5,,,,,MEDIUM,,0.03237912201047168,0.06075029738959142,0.028880768477346143
2024-01-16 05:59:02,A_084004,REHAB_ESP32_FALL_002,ESP32_Fall_Detection,MPU9250,Rehabilitation,6,False,192.168.1.111,192.168.1.1,52469,1883,MQTT,464,7,0.12,1,0,3248,974,1.9691756448184532,5,1,1,0,normal,0,0.062,1.747,9.89,4.7,-5.05,5.26,False,,,,,,,,,LOW,,0.1512597635325622,0.1378269801567585,0.0369786379976367
2024-01-15 09:03:51,A_080917,WARD_ESP32_FALL_001,ESP32_Fall_Detection,MPU9250,General_Ward,7,False,198.51.100.42,192.168.1.74,58028,16990,WiFi,257,53,0.88,2,0,13621,2724,1.3148518990523956,9,0,0,0,mitm_ssl_strip,38,-1.415,1.485,8.749,-2.79,1.51,4.07,False,,,,,,,MITM SSL stripping on HTTPS connections,CAMP_MITM_9935,HIGH,GRP_0033,0.9994502394088854,0.5129814343525184,0.3921857709942268
2024-01-16 04:01:05,A_060767,ER_ESP32_TEMP_001,ESP32_Temperature,DS18B20,Emergency,8,False,10.0.0.88,192.168.1.63,41734,10864,MQTT,1414,1790,29.83,1,0,2531060,0,0.09623779781562349,4,1,1,0,ddos,40,,,,,,,,,,,36.7,,,DDoS attack on ESP32 device,CAMP_DDOS_6073,CRITICAL,GRP_0005,0.8029364339001254,0.5215788644010686,0.42061464372657065
2024-01-16 00:04:11,A_050074,HOME_ESP32_HR_001,ESP32_Pulse_Oximeter,MAX30102,Home_Care,5,False,10.0.0.50,192.168.1.1,55529,443,HTTPS,430,9,0.15,1,0,3870,1161,0.7591855452010763,0,1,1,0,normal,0,,,,,,,,74.0,,,,96.0,0.8088643243340934,,,LOW,,0.04910347809769194,0.12002784816000295,0.036381157141844526
