timestamp,device_id,device_type,ward,life_support,criticality_tier,protocol,src_ip,dst_port,heart_rate_bpm,ppg_raw_value,attack_type,is_attack
1022983,PULSE_ESP32_001,ESP32_Pulse_Oximeter,ICU,TRUE,9,MQTT,10.86.251.45,1883,72,28282,normal,FALSE
1025006,PULSE_ESP32_001,ESP32_Pulse_Oximeter,ICU,TRUE,9,MQTT,10.86.251.45,1883,72,28026,normal,FALSE
1027025,PULSE_ESP32_001,ESP32_Pulse_Oximeter,ICU,TRUE,9,MQTT,10.86.251.45,1883,72,27572,normal,FALSE
1029041,PULSE_ESP32_001,ESP32_Pulse_Oximeter,ICU,TRUE,9,MQTT,10.86.251.45,1883,71,28271,normal,FALSE
1031057,PULSE_ESP32_001,ESP32_Pulse_Oximeter,ICU,TRUE,9,MQTT,10.86.251.45,1883,71,28929,normal,FALSE
1033063,PULSE_ESP32_001,ESP32_Pulse_Oximeter,ICU,TRUE,9,MQTT,10.86.251.45,1883,72,27767,normal,FALSE
1035076,PULSE_ESP32_001,ESP32_Pulse_Oximeter,ICU,TRUE,9,MQTT,10.86.251.45,1883,71,28359,normal,FALSE
1037085,PULSE_ESP32_001,ESP32_Pulse_Oximeter,ICU,TRUE,9,MQTT,10.86.251.45,1883,72,27982,normal,FALSE
1039100,PULSE_ESP32_001,ESP32_Pulse_Oximeter,ICU,TRUE,9,MQTT,10.86.251.45,1883,73,28412,normal,FALSE
1041133,PULSE_ESP32_001,ESP32_Pulse_Oximeter,ICU,TRUE,9,MQTT,10.86.251.45,1883,72,28119,normal,FALSE
1043146,PULSE_ESP32_001,ESP32_Pulse_Oximeter,ICU,TRUE,9,MQTT,10.86.251.45,1883,72,28094,normal,FALSE
1045165,PULSE_ESP32_001,ESP32_Pulse_Oximeter,ICU,TRUE,9,MQTT,10.86.251.45,1883,71,27926,normal,FALSE
1047187,PULSE_ESP32_001,ESP32_Pulse_Oximeter,ICU,TRUE,9,MQTT,10.86.251.45,1883,72,27875,normal,FALSE
1049201,PULSE_ESP32_001,ESP32_Pulse_Oximeter,ICU,TRUE,9,MQTT,10.86.251.45,1883,72,28368,normal,FALSE
1051204,PULSE_ESP32_001,ESP32_Pulse_Oximeter,ICU,TRUE,9,MQTT,10.86.251.45,1883,73,29071,normal,FALSE
1053222,PULSE_ESP32_001,ESP32_Pulse_Oximeter,ICU,TRUE,9,MQTT,10.86.251.45,1883,74,27672,normal,FALSE
1055227,PULSE_ESP32_001,ESP32_Pulse_Oximeter,ICU,TRUE,9,MQTT,10.86.251.45,1883,74,28037,normal,FALSE
1057233,PULSE_ESP32_001,ESP32_Pulse_Oximeter,ICU,TRUE,9,MQTT,10.86.251.45,1883,74,28105,normal,FALSE
1059235,PULSE_ESP32_001,ESP32_Pulse_Oximeter,ICU,TRUE,9,MQTT,10.86.251.45,1883,74,27112,normal,FALSE
1061259,PULSE_ESP32_001,ESP32_Pulse_Oximeter,ICU,TRUE,9,MQTT,10.86.251.45,1883,74,27756,normal,FALSE
1063284,PULSE_ESP32_001,ESP32_Pulse_Oximeter,ICU,TRUE,9,MQTT,10.86.251.45,1883,73,27752,normal,FALSE
1065315,PULSE_ESP32_001,ESP32_Pulse_Oximeter,ICU,TRUE,9,MQTT,10.86.251.45,1883,73,28420,normal,FALSE
1067320,PULSE_ESP32_001,ESP32_Pulse_Oximeter,ICU,TRUE,9,MQTT,10.86.251.45,1883,73,28484,normal,FALSE
1069340,PULSE_ESP32_001,ESP32_Pulse_Oximeter,ICU,TRUE,9,MQTT,10.86.251.45,1883,72,27668,normal,FALSE
1071353,PULSE_ESP32_001,ESP32_Pulse_Oximeter,ICU,TRUE,9,MQTT,10.86.251.45,1883,73,28139,normal,FALSE
1073369,PULSE_ESP32_001,ESP32_Pulse_Oximeter,ICU,TRUE,9,MQTT,10.86.251.45,1883,73,27874,normal,FALSE
1075405,PULSE_ESP32_001,ESP32_Pulse_Oximeter,ICU,TRUE,9,MQTT,10.86.251.45,1883,72,28138,normal,FALSE
1077408,PULSE_ESP32_001,ESP32_Pulse_Oximeter,ICU,TRUE,9,MQTT,10.86.251.45,1883,73,28617,normal,FALSE
1079420,PULSE_ESP32_001,ESP32_Pulse_Oximeter,ICU,TRUE,9,MQTT,10.86.251.45,1883,73,28233,normal,FALSE
1081448,PULSE_ESP32_001,ESP32_Pulse_Oximeter,ICU,TRUE,9,MQTT,10.86.251.45,1883,73,27556,normal,FALSE
1083465,PULSE_ESP32_001,ESP32_Pulse_Oximeter,ICU,TRUE,9,MQTT,10.86.251.45,1883,74,28144,normal,FALSE
1085499,PULSE_ESP32_001,ESP32_Pulse_Oximeter,ICU,TRUE,9,MQTT,10.86.251.45,1883,74,27507,normal,FALSE
1087528,PULSE_ESP32_001,ESP32_Pulse_Oximeter,ICU,TRUE,9,MQTT,10.86.251.45,1883,74,27603,normal,FALSE
1089546,PULSE_ESP32_001,ESP32_Pulse_Oximeter,ICU,TRUE,9,MQTT,10.86.251.45,1883,74,26931,normal,FALSE
1091580,PULSE_ESP32_001,ESP32_Pulse_Oximeter,ICU,TRUE,9,MQTT,10.86.251.45,1883,73,28184,normal,FALSE
1093610,PULSE_ESP32_001,ESP32_Pulse_Oximeter,ICU,TRUE,9,MQTT,10.86.251.45,1883,72,27783,normal,FALSE
1095641,PULSE_ESP32_001,ESP32_Pulse_Oximeter,ICU,TRUE,9,MQTT,10.86.251.45,1883,72,27290,normal,FALSE
1097648,PULSE_ESP32_001,ESP32_Pulse_Oximeter,ICU,TRUE,9,MQTT,10.86.251.45,1883,72,27896,normal,FALSE
1099653,PULSE_ESP32_001,ESP32_Pulse_Oximeter,ICU,TRUE,9,MQTT,10.86.251.45,1883,72,28258,normal,FALSE
1101687,PULSE_ESP32_001,ESP32_Pulse_Oximeter,ICU,TRUE,9,MQTT,10.86.251.45,1883,72,28376,normal,FALSE
1103706,PULSE_ESP32_001,ESP32_Pulse_Oximeter,ICU,TRUE,9,MQTT,10.86.251.45,1883,73,27689,normal,FALSE
1105718,PULSE_ESP32_001,ESP32_Pulse_Oximeter,ICU,TRUE,9,MQTT,10.86.251.45,1883,72,27278,normal,FALSE
1107722,PULSE_ESP32_001,ESP32_Pulse_Oximeter,ICU,TRUE,9,MQTT,10.86.251.45,1883,72,28116,normal,FALSE
1109755,PULSE_ESP32_001,ESP32_Pulse_Oximeter,ICU,TRUE,9,MQTT,10.86.251.45,1883,72,27621,normal,FALSE
1111765,PULSE_ESP32_001,ESP32_Pulse_Oximeter,ICU,TRUE,9,MQTT,10.86.251.45,1883,72,27665,normal,FALSE
1113802,PULSE_ESP32_001,ESP32_Pulse_Oximeter,ICU,TRUE,9,MQTT,10.86.251.45,1883,73,27195,normal,FALSE
1115824,PULSE_ESP32_001,ESP32_Pulse_Oximeter,ICU,TRUE,9,MQTT,10.86.251.45,1883,72,28214,normal,FALSE
1117842,PULSE_ESP32_001,ESP32_Pulse_Oximeter,ICU,TRUE,9,MQTT,10.86.251.45,1883,72,28541,normal,FALSE
1119849,PULSE_ESP32_001,ESP32_Pulse_Oximeter,ICU,TRUE,9,MQTT,10.86.251.45,1883,72,27543,normal,FALSE
1121886,PULSE_ESP32_001,ESP32_Pulse_Oximeter,ICU,TRUE,9,MQTT,10.86.251.45,1883,73,28228,normal,FALSE
1123903,PULSE_ESP32_001,ESP32_Pulse_Oximeter,ICU,TRUE,9,MQTT,10.86.251.45,1883,71,28201,normal,FALSE
1125915,PULSE_ESP32_001,ESP32_Pulse_Oximeter,ICU,TRUE,9,MQTT,10.86.251.45,1883,72,28544,normal,FALSE
1127917,PULSE_ESP32_001,ESP32_Pulse_Oximeter,ICU,TRUE,9,MQTT,10.86.251.45,1883,71,27955,normal,FALSE
1129941,PULSE_ESP32_001,ESP32_Pulse_Oximeter,ICU,TRUE,9,MQTT,10.86.251.45,1883,73,28084,normal,FALSE
1131950,PULSE_ESP32_001,ESP32_Pulse_Oximeter,ICU,TRUE,9,MQTT,10.86.251.45,1883,72,27779,normal,FALSE
1133956,PULSE_ESP32_001,ESP32_Pulse_Oximeter,ICU,TRUE,9,MQTT,10.86.251.45,1883,73,28518,normal,FALSE
1135993,PULSE_ESP32_001,ESP32_Pulse_Oximeter,ICU,TRUE,9,MQTT,10.86.251.45,1883,72,27693,normal,FALSE
1138006,PULSE_ESP32_001,ESP32_Pulse_Oximeter,ICU,TRUE,9,MQTT,10.86.251.45,1883,72,28073,normal,FALSE
1140039,PULSE_ESP32_001,ESP32_Pulse_Oximeter,ICU,TRUE,9,MQTT,10.86.251.45,1883,73,28113,normal,FALSE
1142067,PULSE_ESP32_001,ESP32_Pulse_Oximeter,ICU,TRUE,9,MQTT,10.86.251.45,1883,72,28446,normal,FALSE
1144093,PULSE_ESP32_001,ESP32_Pulse_Oximeter,ICU,TRUE,9,MQTT,10.86.251.45,1883,73,27192,normal,FALSE
