timestamp,device_id,device_type,ward,life_support,criticality_tier,protocol,src_ip,dst_port,temperature_celsius,attack_type,is_attack
2239,TEMP_ESP32_001,ESP32_Temperature_Monitor,General_Ward,FALSE,6,MQTT,10.18.166.210,1883,30.9,normal,FALSE
7265,TEMP_ESP32_001,ESP32_Temperature_Monitor,General_Ward,FALSE,6,MQTT,10.18.166.210,1883,31.1,normal,FALSE
12295,TEMP_ESP32_001,ESP32_Temperature_Monitor,General_Ward,FALSE,6,MQTT,10.18.166.210,1883,30.75,normal,FALSE
17393,TEMP_ESP32_001,ESP32_Temperature_Monitor,General_Ward,FALSE,6,MQTT,10.18.166.210,1883,30.59,normal,FALSE
22487,TEMP_ESP32_001,ESP32_Temperature_Monitor,General_Ward,FALSE,6,MQTT,10.18.166.210,1883,30.88,normal,FALSE
27575,TEMP_ESP32_001,ESP32_Temperature_Monitor,General_Ward,FALSE,6,MQTT,10.18.166.210,1883,31.2,normal,FALSE
32587,TEMP_ESP32_001,ESP32_Temperature_Monitor,General_Ward,FALSE,6,MQTT,10.18.166.210,1883,31.44,normal,FALSE
37650,TEMP_ESP32_001,ESP32_Temperature_Monitor,General_Ward,FALSE,6,MQTT,10.18.166.210,1883,30.7,normal,FALSE
42743,TEMP_ESP32_001,ESP32_Temperature_Monitor,General_Ward,FALSE,6,MQTT,10.18.166.210,1883,31.11,normal,FALSE
47771,TEMP_ESP32_001,ESP32_Temperature_Monitor,General_Ward,FALSE,6,MQTT,10.18.166.210,1883,31.29,normal,FALSE
52872,TEMP_ESP32_001,ESP32_Temperature_Monitor,General_Ward,FALSE,6,MQTT,10.18.166.210,1883,30.87,normal,FALSE
57922,TEMP_ESP32_001,ESP32_Temperature_Monitor,General_Ward,FALSE,6,MQTT,10.18.166.210,1883,31.36,normal,FALSE
62950,TEMP_ESP32_001,ESP32_Temperature_Monitor,General_Ward,FALSE,6,MQTT,10.18.166.210,1883,30.65,normal,FALSE
68035,TEMP_ESP32_001,ESP32_Temperature_Monitor,General_Ward,FALSE,6,MQTT,10.18.166.210,1883,30.68,normal,FALSE
73108,TEMP_ESP32_001,ESP32_Temperature_Monitor,General_Ward,FALSE,6,MQTT,10.18.166.210,1883,30.84,normal,FALSE
78200,TEMP_ESP32_001,ESP32_Temperature_Monitor,General_Ward,FALSE,6,MQTT,10.18.166.210,1883,31.03,normal,FALSE
83300,TEMP_ESP32_001,ESP32_Temperature_Monitor,General_Ward,FALSE,6,MQTT,10.18.166.210,1883,30.59,normal,FALSE
88341,TEMP_ESP32_001,ESP32_Temperature_Monitor,General_Ward,FALSE,6,MQTT,10.18.166.210,1883,30.9,normal,FALSE
93376,TEMP_ESP32_001,ESP32_Temperature_Monitor,General_Ward,FALSE,6,MQTT,10.18.166.210,1883,31.06,normal,FALSE
98431,TEMP_ESP32_001,ESP32_Temperature_Monitor,General_Ward,FALSE,6,MQTT,10.18.166.210,1883,30.7,normal,FALSE
103500,TEMP_ESP32_001,ESP32_Temperature_Monitor,General_Ward,FALSE,6,MQTT,10.18.166.210,1883,97.6,sensor_spoofing,TRUE
108567,TEMP_ESP32_001,ESP32_Temperature_Monitor,General_Ward,FALSE,6,MQTT,10.18.166.210,1883,90.01,sensor_spoofing,TRUE
113574,TEMP_ESP32_001,ESP32_Temperature_Monitor,General_Ward,FALSE,6,MQTT,10.18.166.210,1883,87.25,sensor_spoofing,TRUE
118666,TEMP_ESP32_001,ESP32_Temperature_Monitor,General_Ward,FALSE,6,MQTT,10.18.166.210,1883,97.95,sensor_spoofing,TRUE
