timestamp,device_id,device_type,ward,life_support,criticality_tier,protocol,src_ip,dst_port,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,fall_detected,posture_event,attack_type,is_attack
2239,MOTION_ESP32_001,ESP32_Fall_Detection_Motion,Ward_01,FALSE,5,BLE_MQTT,10.98.160.21,1883,0.11,0.1242,8.6825,-0.0877,-0.1774,0.134,FALSE,SITTING,normal,FALSE
7291,MOTION_ESP32_001,ESP32_Fall_Detection_Motion,Ward_01,FALSE,5,BLE_MQTT,10.98.160.21,1883,0.0595,0.0926,8.7445,0.1506,-0.195,-0.1921,FALSE,SITTING,normal,FALSE
12306,MOTION_ESP32_001,ESP32_Fall_Detection_Motion,Ward_01,FALSE,5,BLE_MQTT,10.98.160.21,1883,3.9026,1.774,5.2253,11.5536,10.6047,10.005,TRUE,FALL_DETECTED,normal,FALSE
17369,MOTION_ESP32_001,ESP32_Fall_Detection_Motion,Ward_01,FALSE,5,BLE_MQTT,10.98.160.21,1883,0.0656,0.1212,8.8452,-0.569,-0.1186,0.1413,FALSE,SITTING,normal,FALSE
22392,MOTION_ESP32_001,ESP32_Fall_Detection_Motion,Ward_01,FALSE,5,BLE_MQTT,10.98.160.21,1883,3.2543,2.186,5.7606,12.6217,13.7938,7.5329,TRUE,FALL_DETECTED,normal,FALSE
27398,MOTION_ESP32_001,ESP32_Fall_Detection_Motion,Ward_01,FALSE,5,BLE_MQTT,10.98.160.21,1883,0.1968,0.1412,8.9371,0.2655,-0.2553,0.3818,FALSE,SITTING,normal,FALSE
32471,MOTION_ESP32_001,ESP32_Fall_Detection_Motion,Ward_01,FALSE,5,BLE_MQTT,10.98.160.21,1883,3.2186,3.8128,4.8754,20.5428,9.5662,7.5626,TRUE,FALL_DETECTED,normal,FALSE
37521,MOTION_ESP32_001,ESP32_Fall_Detection_Motion,Ward_01,FALSE,5,BLE_MQTT,10.98.160.21,1883,0.1106,0.17,8.7133,-0.148,-0.5632,-0.1271,FALSE,SITTING,normal,FALSE
42583,MOTION_ESP32_001,ESP32_Fall_Detection_Motion,Ward_01,FALSE,5,BLE_MQTT,10.98.160.21,1883,0.2663,0.0913,8.3537,-0.1292,0.7799,0.0761,FALSE,SITTING,normal,FALSE
47586,MOTION_ESP32_001,ESP32_Fall_Detection_Motion,Ward_01,FALSE,5,BLE_MQTT,10.98.160.21,1883,0.3333,0.0292,8.8133,0.9442,0.2715,0.0971,FALSE,SITTING,normal,FALSE
52672,MOTION_ESP32_001,ESP32_Fall_Detection_Motion,Ward_01,FALSE,5,BLE_MQTT,10.98.160.21,1883,-0.0719,0.0143,9.7726,0.8939,0.5625,-0.6481,FALSE,STANDING,normal,FALSE
57695,MOTION_ESP32_001,ESP32_Fall_Detection_Motion,Ward_01,FALSE,5,BLE_MQTT,10.98.160.21,1883,0.1373,0.0646,8.2278,0.1683,-0.3463,0.2552,FALSE,SITTING,normal,FALSE
62696,MOTION_ESP32_001,ESP32_Fall_Detection_Motion,Ward_01,FALSE,5,BLE_MQTT,10.98.160.21,1883,0.0305,-0.0621,9.8517,-0.3448,-0.2979,-0.5427,FALSE,STANDING,normal,FALSE
67761,MOTION_ESP32_001,ESP32_Fall_Detection_Motion,Ward_01,FALSE,5,BLE_MQTT,10.98.160.21,1883,3.2957,1.6967,5.9298,15.3324,9.0781,9.9566,TRUE,FALL_DETECTED,normal,FALSE
72837,MOTION_ESP32_001,ESP32_Fall_Detection_Motion,Ward_01,FALSE,5,BLE_MQTT,10.98.160.21,1883,0.0632,-0.0611,9.8443,-0.2463,-0.1446,-0.7145,FALSE,STANDING,normal,FALSE
77876,MOTION_ESP32_001,ESP32_Fall_Detection_Motion,Ward_01,FALSE,5,BLE_MQTT,10.98.160.21,1883,0.0946,0.0862,9.7557,0.1665,0.1285,0.3339,FALSE,STANDING,normal,FALSE
