timestamp,device_id,device_type,ward,life_support,criticality_tier,protocol,src_ip,dst_port,ecg_raw_value,heart_rate_bpm,r_peak_detected,rhythm_label,attack_type,is_attack
1022983,ECG_ESP32_001,ESP32_ECG_Monitor,Ward_02,FALSE,7,BLE_MQTT,10.38.16.20,1883,2056,72,TRUE,NORMAL_SINUS,normal,FALSE
1025002,ECG_ESP32_001,ESP32_ECG_Monitor,Ward_02,FALSE,7,BLE_MQTT,10.38.16.20,1883,2105,73,FALSE,NORMAL_SINUS,normal,FALSE
1027029,ECG_ESP32_001,ESP32_ECG_Monitor,Ward_02,FALSE,7,BLE_MQTT,10.38.16.20,1883,2203,74,FALSE,NORMAL_SINUS,normal,FALSE
1029055,ECG_ESP32_001,ESP32_ECG_Monitor,Ward_02,FALSE,7,BLE_MQTT,10.38.16.20,1883,2210,72,FALSE,NORMAL_SINUS,normal,FALSE
1031085,ECG_ESP32_001,ESP32_ECG_Monitor,Ward_02,FALSE,7,BLE_MQTT,10.38.16.20,1883,2263,73,FALSE,NORMAL_SINUS,normal,FALSE
1033094,ECG_ESP32_001,ESP32_ECG_Monitor,Ward_02,FALSE,7,BLE_MQTT,10.38.16.20,1883,2263,72,FALSE,NORMAL_SINUS,normal,FALSE
1035110,ECG_ESP32_001,ESP32_ECG_Monitor,Ward_02,FALSE,7,BLE_MQTT,10.38.16.20,1883,2307,72,FALSE,NORMAL_SINUS,normal,FALSE
1037135,ECG_ESP32_001,ESP32_ECG_Monitor,Ward_02,FALSE,7,BLE_MQTT,10.38.16.20,1883,2346,73,FALSE,NORMAL_SINUS,normal,FALSE
1039146,ECG_ESP32_001,ESP32_ECG_Monitor,Ward_02,FALSE,7,BLE_MQTT,10.38.16.20,1883,2365,71,FALSE,NORMAL_SINUS,normal,FALSE
1041166,ECG_ESP32_001,ESP32_ECG_Monitor,Ward_02,FALSE,7,BLE_MQTT,10.38.16.20,1883,2360,70,FALSE,NORMAL_SINUS,normal,FALSE
1043172,ECG_ESP32_001,ESP32_ECG_Monitor,Ward_02,FALSE,7,BLE_MQTT,10.38.16.20,1883,2303,72,FALSE,NORMAL_SINUS,normal,FALSE
1045179,ECG_ESP32_001,ESP32_ECG_Monitor,Ward_02,FALSE,7,BLE_MQTT,10.38.16.20,1883,2279,72,FALSE,NORMAL_SINUS,normal,FALSE
1047187,ECG_ESP32_001,ESP32_ECG_Monitor,Ward_02,FALSE,7,BLE_MQTT,10.38.16.20,1883,2238,72,FALSE,NORMAL_SINUS,normal,FALSE
1049193,ECG_ESP32_001,ESP32_ECG_Monitor,Ward_02,FALSE,7,BLE_MQTT,10.38.16.20,1883,2139,71,FALSE,NORMAL_SINUS,normal,FALSE
1051210,ECG_ESP32_001,ESP32_ECG_Monitor,Ward_02,FALSE,7,BLE_MQTT,10.38.16.20,1883,2145,70,FALSE,NORMAL_SINUS,normal,FALSE
1053223,ECG_ESP32_001,ESP32_ECG_Monitor,Ward_02,FALSE,7,BLE_MQTT,10.38.16.20,1883,2059,70,FALSE,NORMAL_SINUS,normal,FALSE
1055231,ECG_ESP32_001,ESP32_ECG_Monitor,Ward_02,FALSE,7,BLE_MQTT,10.38.16.20,1883,1952,70,FALSE,NORMAL_SINUS,normal,FALSE
1057259,ECG_ESP32_001,ESP32_ECG_Monitor,Ward_02,FALSE,7,BLE_MQTT,10.38.16.20,1883,1935,71,FALSE,NORMAL_SINUS,normal,FALSE
1059282,ECG_ESP32_001,ESP32_ECG_Monitor,Ward_02,FALSE,7,BLE_MQTT,10.38.16.20,1883,1885,70,FALSE,NORMAL_SINUS,normal,FALSE
1061296,ECG_ESP32_001,ESP32_ECG_Monitor,Ward_02,FALSE,7,BLE_MQTT,10.38.16.20,1883,1853,71,FALSE,NORMAL_SINUS,normal,FALSE
1063327,ECG_ESP32_001,ESP32_ECG_Monitor,Ward_02,FALSE,7,BLE_MQTT,10.38.16.20,1883,1773,70,FALSE,NORMAL_SINUS,normal,FALSE
1065334,ECG_ESP32_001,ESP32_ECG_Monitor,Ward_02,FALSE,7,BLE_MQTT,10.38.16.20,1883,1726,70,FALSE,NORMAL_SINUS,normal,FALSE
1067363,ECG_ESP32_001,ESP32_ECG_Monitor,Ward_02,FALSE,7,BLE_MQTT,10.38.16.20,1883,1709,68,FALSE,NORMAL_SINUS,normal,FALSE
1069397,ECG_ESP32_001,ESP32_ECG_Monitor,Ward_02,FALSE,7,BLE_MQTT,10.38.16.20,1883,1737,68,FALSE,NORMAL_SINUS,normal,FALSE
